X,Y,Xerr,Yerr
0.5733, 0.2878, 0.0001, 0.001
0.8115, 0.4073, 0.0001, 0.001
1.0741, 0.5391, 0.0001, 0.001
1.3165, 0.6608, 0.0001, 0.001
1.7663, 0.8865, 0.0001, 0.001
2.2437, 1.1263, 0.0001, 0.001
2.7011, 1.3558, 0.0001, 0.001
3.2872, 1.6498, 0.0001, 0.001
3.7427, 1.8783, 0.0001, 0.001
4.3899, 2.204, 0.0001, 0.001
5.0968, 2.559, 0.0001, 0.001
5.4925, 2.758, 0.0001, 0.001
5.8161, 2.920, 0.0001, 0.001
6.1136, 3.070, 0.0001, 0.001
6.4555, 3.241, 0.0001, 0.001
6.8525, 3.441, 0.0001, 0.001
7.2175, 3.624, 0.0001, 0.001
7.6151, 3.823, 0.0001, 0.001
7.9666, 4.000, 0.0001, 0.001
8.4320, 4.234, 0.0001, 0.001
8.7754, 4.406, 0.0001, 0.001
9.2040, 4.621, 0.0001, 0.001
9.4859, 4.763, 0.0001, 0.001
9.7748, 4.908, 0.0001, 0.001
9.9471, 4.994, 0.0001, 0.001
9.9787, 5.010, 0.0001, 0.001


